name;Población;Densidad;Urbana;hombres_mujeres;dependencia_demográfica;Adulto_mayor;Nacido_extranjero;Unidas_o_casadas;Discapacidad;No_asegurada;Viviendas;Prom_Ocupantes;Agua_Caliente_porc;Tanque_agua_porc;Carro_porc;Moto_porc;VPropias_porc;VAlquiladas_porc;VBuen_estado_porc;VHacinadas_porc
San José;1404242;282,8;86,4;91,6;44,4;8,2;10,6;47,6;11,1;13,2;400961;3,49;17,19;13,3;43,35;10,52;67,53;24,89;67,39;4,55
Alajuela;848146;86,9;60,7;98,5;48,1;7,1;10,4;52,2;9,9;16,6;236927;3,56;8,05;12,54;38,44;11,96;69,59;20,02;64,12;4,93
Cartago;490903;157,1;82,5;96,3;45,2;7;4,2;49;9,1;13,7;130464;3,75;12,57;12,25;39,07;8,1;77,6;14,6;70,93;3,52
Heredia;433677;163,2;86;95;42,9;7,1;10;50,5;10;11,6;122410;3,53;18,71;17,8;48,67;10,76;70,05;22,18;73,9;3,91
Guanacaste;326953;32,2;55,2;98,2;50,9;7,5;8,2;52,6;10,9;18,5;92584;3,52;5,93;9,51;30,91;15,16;74,21;14,68;58,4;6,7
Puntarenas;410929;36,5;54,7;100,5;53;6,6;5,9;53,6;11,3;15,3;119302;3,43;4,79;11,69;26,01;14,37;68,79;15,33;49,34;7,33
Limón;386862;42,1;56,5;100,2;54,7;5,2;8,7;53,2;11,2;14,4;109316;3,52;5,42;15;21,27;9,69;67,86;17,52;49,12;7,62
