Fecha;IMAE
1/11/2008;93,24053213
1/12/2008;90,87202771
1/1/2009;89,97057663
1/2/2009;87,0303838
1/3/2009;92,11607714
1/4/2009;85,62136766
1/5/2009;87,89762894
1/6/2009;87,60850821
1/7/2009;89,2028558
1/8/2009;87,45184568
1/9/2009;88,40580073
1/10/2009;91,19684261
1/11/2009;93,07038078
1/12/2009;94,49089243
1/1/2010;92,95170141
1/2/2010;90,84453153
1/3/2010;97,47470775
1/4/2010;89,38693392
1/5/2010;91,82524567
1/6/2010;91,48854655
1/7/2010;92,59863194
1/8/2010;91,00026119
1/9/2010;91,8202342
1/10/2010;93,97699425
1/11/2010;97,05597889
1/12/2010;96,8885275
1/1/2011;96,05662852
1/2/2011;94,46720031
1/3/2011;99,39978531
1/4/2011;92,28551772
1/5/2011;95,53482495
1/6/2011;94,70606661
1/7/2011;94,30628338
1/8/2011;93,40897239
1/9/2011;94,39441394
1/10/2011;97,7679326
1/11/2011;100,4876039
1/12/2011;100,0219833
1/1/2012;100,3033115
1/2/2012;100,9461991
1/3/2012;103,5979357
1/4/2012;95,31158106
1/5/2012;99,41011468
1/6/2012;97,34075105
1/7/2012;98,05126135
1/8/2012;97,69789826
1/9/2012;97,56251981
1/10/2012;100,4324578
1/11/2012;104,9879813
1/12/2012;104,3579884
1/1/2013;101,787477
1/2/2013;99,73318615
1/3/2013;103,7990143
1/4/2013;97,86252601
1/5/2013;100,7091795
1/6/2013;99,63606271
1/7/2013;100,4091161
1/8/2013;99,50809086
1/9/2013;99,3759737
1/10/2013;102,2105722
1/11/2013;105,0535095
1/12/2013;104,5320878
1/1/2014;104,053384
1/2/2014;104,2610888
1/3/2014;107,4751939
1/4/2014;98,84980917
1/5/2014;102,6998418
1/6/2014;101,7708491
1/7/2014;102,9028093
1/8/2014;102,0373047
1/9/2014;102,1994032
1/10/2014;106,8287934
1/11/2014;108,7209555
1/12/2014;109,6729272
1/1/2015;106,6780264
1/2/2015;107,4725769
1/3/2015;111,111161
1/4/2015;103,9505147
1/5/2015;108,2661635
1/6/2015;108,2020684
